Facility	Address	City	State	Zip	Score	Mismatch	Facility	Address	City	State	Zip
Dublin Methodist Hospital	7500 Hospital Drive	Dublin	OH	43016	92		OhioHealth Dublin Methodist Hospita	7500 Hospital Dr	Dublin	OH	43017
Summa Health System Western Reserve Hospital	1900 23rd Street	Cuyahoga Falls	OH	44223	92		Summa Western Reserve Hospital LLC	1900 23rd St	Cuyahoga Falls	OH	44223
Culpeper Memorial Hospital	501 Sunset Lane	Culpeper	VA	22701	92		Culpeper Regional Hospital	501 Sunset Ln	Culpeper	VA	22701
Johns Hopkins Medicine Howard County General Hospital	5755 Cedar Lane	Columbia	MD	21044	91.5		Howard County General Hospital	5755 Cedar Ln	Columbia	MD	21044
Mt Graham Regional Medical Center	1600 20th Avenue	Safford	AZ	85546	91		Mount Graham Regional Medical Cente	1600 S 20th Ave	Safford	AZ	85546
Indiana University Health University Hospital	550 North University Boulevard	Indianapolis	IN	46202	91		IU Health University	550 University Blvd	Indianapolis	IN	46202
Catholic Health Services of Long Island Mercy Medical Center	1000 North Village Avenue PO Box 9024	Rockville Centre	NY	11570	91		Mercy Medical Center	1000 N Village Ave	Rockville Centre	NY	11571
Wickenburg Community Hospital	520 Rose Lane	Wickenburg	AZ	85390	90.9		Wickenburg Community Hospital	520 Rose Ln	Wickenburg	AZ	85390
Providence Health and Services Kodiak Island Medical Center	1915 East Rezanof Drive	Kodiak	AK	99615	87.5		Providence Kodiak Island Medical Ce	1915 E Rezanof Dr	Kodiak	AK	99615
Scripps Health Scripps Green Hospital	10666 North Torrey Pines Road	La Jolla	CA	92037	87.5		Scripps Green Hospital - La Jolla	10666 N Torrey Pines Rd	La Jolla	CA	92037
Scripps Health Scripps Mercy Hospital	4077 5th Avenue	San Diego	CA	92103	87.5		Scripps Mercy Hospital-San Diego	4077 5th Ave	San Diego	CA	92103
Childrens Hospital Boston	300 Longwood Avenue	Boston	MA	2115	87.5		Boston Childrens Hospital	300 Longwood Ave	Boston	MA	2115
Schuylkill Health Schuylkill Medical Center	700 East Norwegian Street	Pottsville	PA	17901	87.5		Schuylkill Medical Center - East No	700 E Norwegian St	Pottsville	PA	17901
St Lukes Hospital Quakertown Campus	1021 Park Avenue	Quakertown	PA	18951	87.5		St Lukes Quakertown Hospital	1021 Park Ave	Quakertown	PA	18951
SSM Health Care St Marys Janesville Hospital	3400 East Racine Street	Janesville	WI	53546	87.1		St Marys Janesville	3400 E Racine St Hwy 11	Janesville	WI	53546
Tenet HealthSystem Fountain Valley Regional Hospital	17100 Euclid Street	Fountain Valley	CA	92708	85		Fountain Valley Regional Hospital &	17100 Euclid St	Fountain Valley	CA	92708
Dignity Health Mercy Hospitals of Bakersfield Truxtun Campus	2215 Truxtun Avenue	Bakersfield	CA	93301	85		Mercy Hospital - Bakersfield	2215 Truxtun Ave	Bakersfield	CA	93301
Via Christi Hospital Via Christi Hospital in Pittsburg	1 Mount Carmel Way	Pittsburg	KS	66762	85		Via Christi Hospital Pittsburg	1 Mt Carmel Way	Pittsburg	KS	66762
Community Hospital Anaconda	401 West Pennsylvania Street	Anaconda	MT	59711	85		Community Hospital of Anaconda	401 W Pennsylvania St	Anaconda	MT	59711
Ohio State University Medical Center Ohio State University Hospital	410 West 10th Avenue	Columbus	OH	43210	85		The Ohio State University Hospitals	410 W 10th Ave	Columbus	OH	43210
UPMC Health System Childrens Hospital of Pittsburgh	4401 Penn Avenue	Pittsburgh	PA	15224	85		Childrens Hospital of Pittsburgh of	4401 Penn Ave	Pittsburgh	PA	15224
Baptist Health System Princeton Baptist Medical Center	701 Princeton Avenue Southwest	Birmingham	AL	35211	84		Baptist Medical Center - Princeton	701 Princeton Ave SW	Birmingham	AL	35211
Dignity Health Mercy San Juan Medical Center	6501 Coyle Avenue	Carmichael	CA	95608	81.8		Mercy San Juan Hospital	6501 Coyle Ave	Carmichael	CA	95608
DeKalb Medical Center Hillandale	2801 Dekalb Medical Parkway	Lithonia	GA	30058	81		DeKalb Medical Center at Hillandale	2801 N Dekalb Medical Pkwy	Lithonia	GA	30058
Mountain States Health Alliance Indian Path Medical Center	2000 Brookside Drive	Kingsport	TN	37660	81		Columbia Indian Path Med Ctr	2000 Brookside Rd	Kingsport	TN	37660
Spanish Peaks Hospital	23500 US Highway 160	Walsenburg	CO	81089	81		Spanish Peaks Regional Health Cente	23500 US Hwy 160	Walsenburg	CO	81089
Wheaton Franciscan Healthcare Wisconsin Heart Hospital	10000 West Bluemound Road	Wauwatosa	WI	53226	80.2		The Wisconsin Heart Hospital	10000 W Blue Mound Rd	Milwaukee	WI	53226
Tenet HealthSystem Desert Regional Medical Center	1180 North Indian Canyon Drive	Palm Springs	CA	92262	80		Desert Regional Medical Center	1150 N Indian Canyon Dr	Palm Springs	CA	92262
North Hawaii Community Hospital	67 1125 Mamalahoa Highway	Kamuela	HI	96743	80		North Hawaii Community Hospital	67-1125 Mamalahoa Hwy	Kamuela	HI	96743
Waldo County Healthcare Waldo County General Hospital	57 Northport Avenue PO Box 287	Belfast	ME	4915	80		Waldo County General Hospital	118 Northport Ave	Belfast	ME	4915
New York City Health and Hospitals Queens Hospital Center	82-68 164th Street	Jamaica	NY	11432	80		Queens Hospital Center	8268 164th St	Jamaica	NY	11432
Alliance Community Hospital	264 East Rice Street	Alliance	OH	44601	80		Alliance Community Hospital	200 E Rice St	Alliance	OH	44601
Laurel Health System Soldiers and Sailors Memorial Hospital	32 36 Central Avenue	Wellsboro	PA	16901	80		Soldiers and Sailors Memorial Hospi	36 Central Ave	Wellsboro	PA	16901
Wellmont Health System Lonesome Pine Hospital	1190 Holton Avenue	Big Stone Gap	VA	24219	80		Wellmont Lonesome Pine Hospital	1990 Holton Ave E	Big Stone Gap	VA	24219
Monongalia General Hospital	1220 J D Anderson Drive Room 2132	Morgantown	WV	26505	80		Monongalia General Hospital	1200 J D Anderson Dr	Morgantown	WV	26505
St Johns Hospital	625 East Broadway PO Box 428	Jackson	WY	83001	80		St Johns Medical Center	625 E Broadway	Jackson	WY	83001
Rady Childrens Hospital San Diego	3020 Childrens Way	San Diego	CA	92123	78.3		Rady Childrens Hospital and Health	3020 Childrens Way	San Diego	CA	92123
Indiana University Health Riley Hospital for Children	705 Riley Hospital Drive Suite RI4340	Indianapolis	IN	46202	78.1		Riley Hospital for Children at IU H	705 Riley Hospital Dr	Indianapolis	IN	46202
Ministry Health Care Saint Clares Hospital	3400 Ministry Parkway	Weston	WI	54476	78.1		Ministry Saint Clares Hospital	3400 Ministry Pkwy	Schofield	WI	54476
Catholic Health East St James Mercy Hospital	411 Canisteo Street	Hornell	NY	14843	77.4		St James Mercy Health	411 Canisteo St	Hornell	NY	14843
University Hospitals Geauga Medical Center	13207 Ravenna Road	Chardon	OH	44024	77.3		UHHS - Geauga Medical Center	13207 Ravenna Rd	Chardon	OH	44024
Froedtert Health St Josephs Community Hospital	3200 Pleasant Valley Road	West Bend	WI	53095	77.3		St Josephs Hospital	3200 Pleasant Valley Rd	West Bend	WI	53095
Wheaton Franciscan Healthcare Wisconsin St Francis Hospital	3237 South 16th Street	Milwaukee	WI	53215	76.8		Wheaton Franciscan Healthcare - St	3237 S 16th St	Milwaukee	WI	53215
Wheaton Franciscan Healthcare Wisconsin All Saints Hospital	3801 Spring Street	Racine	WI	53405	76.8		Wheaton Franciscan Healthcare - All	3801 Spring St	Racine	WI	53405
Sparrow Health Clinton Memorial Hospital	901 South Oakland	Saint Johns	MI	48879	76		Clinton Memorial Hospital	805 S Oakland St	Saint Johns	MI	48879
Intermountain Healthcare Logan Regional Hospital	500 East 1400 North	Logan	UT	84341	76		Logan Regional Hospital	1400 N 500 E	Logan	UT	84341
Mountain States Health Alliance Russell County Medical Center	58 Carroll Street PO Box 3600	Lebanon	VA	24266	76		Russell County Medical Center	Carroll and Tate Sts	Lebanon	VA	24266
University of Alabama Birmingham Childrens Hospital	1600 7th Avenue South	Birmingham	AL	35233	75		Childrens Hospital of Alabama	1600 7th Ave S	Birmingham	AL	35233
Infirmary Health Mobile Infirmary Medical Center	5 Mobile Infirmary Circle	Mobile	AL	36607	75		Infirmary LTAC Hospital	5 Mobile Infirmary Cir	Mobile	AL	36607
Providence Health and Services Little Company of Mary Medical Center San Pedro	1300 West 7th Street	San Pedro	CA	90732	75		Providence Little Company of Mary S	1300 W 7th St	San Pedro	CA	90732
UMass Memorial Health Care Memorial Medical Center	119 Belmont Street	Worcester	MA	1605	75		UMass Memorial Medical Center - Mem	119 Belmont St	Worcester	MA	1605
SSM Health Care St Louis St Marys Health Center	6420 Clayton Road	Saint Louis	MO	63117	75		SSM St Marys Health Center	6420 Clayton Rd	Saint Louis	MO	63117
Southeast Missouri Hospital	1701 Lacey Street	Cape Girardeau	MO	63701	75		Southeast Hospital	1701 Lacey St	Cape Girardeau	MO	63701
Providence Health and Services St Joseph Medical Center	6 Thirteenth Avenue East PO Box 1010	Polson	MT	59860	75		St Joseph Hospital Corporation	6 13th Ave E	Polson	MT	59860
City Hospital Center at Elmhurst	7901 Broadway	Elmhurst	NY	11373	75		Elmhurst Hospital Center	7901 Broadway	Elmhurst	NY	11373
Southeastern Med Southeast Ohio Regional Medical Center	1341 Clark Street	Cambridge	OH	43725	75		Southeastern Ohio Regional Medical	1341 Clark St	Cambridge	OH	43725
Aurora Health Care Lakeland Medical Center	W3985 County Road NN	Elkhorn	WI	53121	75		Aurora Lakeland Medical Center	W3985 County Rd NN	Elkhorn	WI	53121
Aurora Health Care Medical Center Kenosha	10400 75th Street	Kenosha	WI	53142	75		Aurora Medical Center - Kenosha	10400 75th St	Kenosha	WI	53142
Aurora Health Care Medical Center Oshkosh	855 North Westhaven Drive	Oshkosh	WI	54904	75		Aurora Medical Center of Oshkosh	855 N Westhaven Dr	Oshkosh	WI	54904
Broward Health Medical Center	1600 South Andrews Avenue	Fort Lauderdale	FL	33316	73.3		Broward General Medical Center	1600 S Andrews Ave	Fort Lauderdale	FL	33316
OSF HealthCare Saint Elizabeth Medical Center	1100 East Norris Drive	Ottawa	IL	61350	72.5		OSF Saint Elizabeth Medical Center	1100 E Norris Dr	Ottawa	IL	61350
United States Army Blanchfield Army Community Hospital	650 Joel Drive	Fort Campbell	KY	42223	72.5		Col Florence A Blanchfield Army Com	650 Joel Dr	Fort Campbell	KY	42223
Trinity Health Mercy Health Partners Mercy Campus	1500 East Sherman Boulevard	Muskegon	MI	49444	72.5		Mercy General Health Partners - Mer	1500 E Sherman Blvd	Muskegon	MI	49444
Scott and White Healthcare Hospital Brenham	700 Medical Parkway	Brenham	TX	77833	72.5		Scott and White Hospital Brenham	700 Medical Pkwy	Brenham	TX	77833
Universal Health Services Palmdale Regional Hospital	38600 Medical Center Drive	Palmdale	CA	93551	72.2		Palmdale Regional Medical Center	38600 Medical Center Dr	Palmdale	CA	93551
LifePoint Hospitals Rockdale Medical Center	1412 Milstead Avenue Northeast	Conyers	GA	30012	72.2		Rockdale Hospital	1412 Milstead Ave NE	Conyers	GA	30012
Health Management Associates Wuesthoff Health System Rockledge Medical Center	110 Longwood Avenue	Rockledge	FL	32955	72		Wuesthoff Medical Center - Rockledg	110 Longwood Ave	Rockledge	FL	32955
Presence Saints Mary and Elizabeth Medical Center Saint Mary Campus	2233 West Division Street	Chicago	IL	60622	71.4		Presence Saint Mary of Nazareth Hos	2233 W Division St	Chicago	IL	60622
Lourdes Hospital	169 Riverside Drive	Binghamton	NY	13905	70		Our Lady of Lourdes Memorial Hospit	169 Riverside Dr	Binghamton	NY	13905
Catholic Health Partners Mercy Tiffin Hospital	45 Saint Lawrence Drive	Tiffin	OH	44883	70		Mercy Hospital of Tiffin	45 St Lawrence Dr	Tiffin	OH	44883
LifePoint Hospitals Northwest Medical Center	1530 US Highway 43	Winfield	AL	35594	68.8		Northwest Medical Center - Winfield	1530 U S Hwy 43	Winfield	AL	35594
Universal Health Services Corona Regional Medical Center	800 South Main Street	Corona	CA	92882	68.8		Corona Regional Medical Center - Ma	800 S Main St	Corona	CA	92882
Adventist Health Medical Center Hanford	115 Mall Drive	Hanford	CA	93230	68.8		Adventist Medical Center- Hanford	115 Mall Dr	Hanford	CA	93230
Dignity Health Bakersfield Memorial Hospital	420 34th Street	Bakersfield	CA	93301	68.8		Bakersfield Memorial Hospital - 34t	420 34th St	Bakersfield	CA	93301
St Joseph Health Queen of the Valley Medical Center	1000 Trancas Street	Napa	CA	94558	68.8		Queen of the Valley Hospital - Napa	1000 Trancas St	Napa	CA	94558
Childrens Hospital Oakland	747 52nd Street	Oakland	CA	94609	68.8		Childrens Hospital and Research Cen	747 52nd St	Oakland	CA	94609
United States Army Eisenhower Medical Center	300 Hospital Road	Fort Gordon	GA	30905	68.8		Dwight D Eisenhower Army Medical Ce	300 Hospital Rd	Augusta	GA	30905
United States Army Winn Community Hospital	1061 Harmon Avenue	Fort Stewart	GA	31314	68.8		Winn Army Community Hospital	1061 Harmon Ave	Fort Stewart	GA	31314
Granite Falls Municipal Hospital and Manor	345 10th Avenue	Granite Falls	MN	56241	68.8		Municipal Hospital and Granite Mano	345 10th Ave	Granite Falls	MN	56241
HUMC Mountainside Hospital	1 Bay Avenue	Montclair	NJ	7042	68.8		HackensackUMC Mountainside	1 Bay Ave	Montclair	NJ	7042
Presbyterian Healthcare Espanola Hospital	1010 Spruce Street	Espanola	NM	87532	68.8		Presbyterian Espanola Hospital	1010 Spruce St	Espanola	NM	87532
St Lukes Hospital Coaldale Campus	360 West Ruddle Street	Coaldale	PA	18218	68.8		St Lukes Miners Memorial Hospital	360 W Ruddle St	Coaldale	PA	18218
Trinity Mother Francis Hospital Winnsboro	719 West Coke Road	Winnsboro	TX	75494	68.8		Mother Frances Hospital - Winnsboro	719 W Coke Rd	Winnsboro	TX	75494
Shriners Hospital for Children Galveston	815 Market Street	Galveston	TX	77550	68.8		Shriners Burns Hospital - Galveston	815 Market St	Galveston	TX	77550
Seton Healthcare Edgar B Davis Hospital	130 Hays Street	Luling	TX	78648	68.8		Seton Edger B Davis Hospital	130 Hays St	Luling	TX	78648
Seton Healthcare Southwest Hospital	7900 FM-1826	Austin	TX	78737	68.8		Seton Southwest	7900 FM 1826	Austin	TX	78737
Island Health Northwest	1211 24th Street	Anacortes	WA	98221	68.8		Island Hospital	1211 24th St	Anacortes	WA	98221
Fort Healthcare Fort Memorial Hospital	611 Sherman Avenue East	Fort Atkinson	WI	53538	68.8		Fort Atkinson Memorial Hospital	611 Sherman Ave E	Fort Atkinson	WI	53538
Universal Health Services South Texas Health Mcallen Heart Hospital	1900 South D Street	McAllen	TX	78503	68.6		McAllen Medical Heart Hospital	1900 S D St	McAllen	TX	78503
Methodist Healthcare System Methodist Texsan Hospital	6700 IH 10 West	San Antonio	TX	78201	68.5		Methodist Texsan Heart Hospital	6700 W Ih 10	San Antonio	TX	78201
University of Arizona Medical Center	1501 North Campbell Avenue	Tucson	AZ	85724	68.4		Banner - University of Arizona Medi	1501 N Campbell Ave	Tucson	AZ	85724
MidMichigan Medical Center Gratiot	300 East Warwick Drive	Alma	MI	48801	68.4		Gratiot Medical Center	300 E Warwick Dr	Alma	MI	48801
HCA North Florida Gulf Coast Community Hospital	449 West 23rd Street	Panama City	FL	32405	67.9		Gulf Coast Medical Center	449 W 23rd St	Panama City	FL	32405
Tuba City Regional Health Care Corporation	167 North Main Street PO Box 600	Tuba City	AZ	86045	67.3		Tuba City Medical Center	167 N Main St	Tuba City	AZ	86045
Munson Healthcare West Shore Hospital	1465 East Parkdale Avenue	Manistee	MI	49660	67.2		West Shore Medical Center	1465 E Parkdale Ave	Manistee	MI	49660
Tuomey Healthcare System	129 North Washington Street	Sumter	SC	29150	66.7		Tuomey Regional Medical Center	129 N Washington St	Sumter	SC	29150
St Vincent Health St Vincent Indianapolis Hospital	2001 West 86th Street	Indianapolis	IN	46260	66.3		St Vincent Hospital and Health Serv	2001 W 86th St	Indianapolis	IN	46260
Carroll County General Hospital	200 Memorial Avenue	Westminster	MD	21157	65.9		Carroll Hospital Center	200 Memorial Ave	Westminster	MD	21157
BJC HealthCare Progress West Healthcare Center	2 Progress Point Parkway	O Fallon	MO	63368	65.9		Progress West Hospital	2 Progress Pt Pkwy	O Fallon	MO	63368
Citrus Valley Health Partners Medical Center Queen of the Valley Campus	1115 South Sunset Avenue	West Covina	CA	91790	65.5		Citrus Valley Medical Center	1115 S Sunset Ave	West Covina	CA	91790
Harrington Healthcare Harrington Hospital	100 South Street	Southbridge	MA	1550	65.2		Harrington Memorial Hospital	100 South St	Southbridge	MA	1550
Dignity Health Mercy Hospitals of Bakersfield Southwest Campus	400 Old River Road	Bakersfield	CA	93311	65		Mercy Southwest Hospital	400 Old River Rd	Bakersfield	CA	93311
Appalachian Regional Healthcare ARH Hazard Regional Medical Center	100 Medical Center Drive	Hazard	KY	41701	65		Hazard ARH Regional Medical Center	100 Medical Center Dr	Hazard	KY	41701
Oakwood Healthcare Oakwood Annapolis Hospital	33155 Annapolis Street	Wayne	MI	48184	65		Oakwood Hospital Wayne	33155 Annapolis St	Wayne	MI	48184
Sisters of Charity of Leavenworth Health Holy Rosary Hospital	2600 Wilson Street	Miles City	MT	59301	65		Holy Rosary Healthcare	2600 Wilson St	Miles City	MT	59301
Citrus Valley Health Partners Medical Center Intercommunity Campus	210 West San Bernardino Road	Covina	CA	91723	64.8		Citrus Valley Medical Center	210 W San Bernardino Rd	Covina	CA	91723
LifePoint Hospitals Bell Memorial Hospital	901 Lakeshore Drive	Ishpeming	MI	49849	64.3		Bell Hospital	901 Lakeshore Dr	Ishpeming	MI	49849
Community Health Systems Northeast Regional Medical Center	315 South Osteopathy PO Box C8502	Kirksville	MO	63501	64.3		N E Regional Medical Ctr-Jefferson	315 S Osteopathy	Kirksville	MO	63501
Select Specialty Hospital Long Term Care Hospital Colorado Springs	6001 East Woodmen Road 6th floors	Colorado Springs	CO	80923	64.1		Select Long Term Care Hospital - Co	6001 E Woodmen Rd	Colorado Springs	CO	80923
Avera St Marys Healthcare Center	801 East Sioux	Pierre	SD	57501	63.9		St Marys Hospital	801 E Sioux Ave	Pierre	SD	57501
MemorialCare Health System Miller Childrens and Womens  Hospital Long Beach	2801 Atlantic Avenue	Long Beach	CA	90806	62.5		Earl And Lorraine Miller Childrens	2801 Atlantic Ave	Long Beach	CA	90806
Hartford Healthcare Windham Hospital	112 Mansfield Avenue	Willimantic	CT	6226	62.5		Windham Community Memorial Hospital	112 Mansfield Ave	Willimantic	CT	6226
UMass Memorial Health Care Memorial Medical Center University Campus	55 Lake Avenue North	Worcester	MA	1655	62.5		UMass Memorial Medical Center - Uni	55 Lake Ave N	Worcester	MA	1655
University of Missouri Health Care Capital Regional Medical Center	1125 Madison Street	Jefferson City	MO	65101	62.5		Capital Region Medical Center	1125 Madison St	Jefferson City	MO	65101
Anderson Regional Medical Center Main Campus	2124 14th Street	Meridian	MS	39301	62.5		Jeff Anderson Regional Medical Cent	2124 14th St	Meridian	MS	39301
Self Memorial Hospital	1325 Spring Street	Greenwood	SC	29646	62.5		Self Regional Healthcare	1325 Spring St	Greenwood	SC	29646
IASIS Healthcare Odessa Regional Medical Center	520 East 6th Street	Odessa	TX	79761	62.5		Odessa Regional Hospital	520 E 6th St	Odessa	TX	79761
HCA Virginia Health System Henrico Doctors Hospital Retreat Campus	2621 Grove Avenue	Richmond	VA	23220	62.5		Retreat Doctors Hospital	2621 Grove Ave	Richmond	VA	23220
HCA Virginia Health System Henrico Doctors Hospital Parham Campus	7700 East Parham Road	Richmond	VA	23294	62.5		Parham Doctors Hospital	7700 E Parham Rd	Henrico	VA	23294
Aurora Health Care Memorial Hospital of Burlington	252 McHenry Street	Burlington	WI	53105	62.5		Aurora Memorial Hospital - Burlingt	252 McHenry St	Burlington	WI	53105
LifePoint Hospitals Lander Valley Medical Center	1320 Bishop Randall Drive	Lander	WY	82520	62.5	1	SageWest Health Care Lander	1320 Bishop Randall Dr	Lander	WY	82520
UnityPoint Health Trinity Fort Dodge	802 Kenyon Road	Fort Dodge	IA	50501	62.1		Trinity Regional Medical Center	802 Kenyon Rd	Fort Dodge	IA	50501
LifePoint Hospitals Havasu Regional Medical Center	101 Civic Center Lane	Lake Havasu City	AZ	86403	60		Havasu Regional Medical Center	101 Civic Center Ln	Lake Havasu City	AZ	86403
Lompoc Valley Medical Center	508 East Hickory Avenue	Lompoc	CA	93436	60		Lompoc Valley Medical Center	1515 E Ocean Ave	Lompoc	CA	93436
Baptist Health South Florida West Kendall Baptist Hospital	9555 Southwest 162 Avenue	Miami	FL	33196	60		West Kendall Baptist Hospital	9555 SW 162nd Ave	Miami	FL	33196
HCA East Florida Hospitals Westside Regional Medical Center	817 South University Drive Suite 106	Plantation	FL	33324	60		Westside Regional Medical Center	8201 W Broward Blvd	Fort Lauderdale	FL	33324
Northside Hospital Forsyth	1505 Northside Boulevard Suite 4600	Cumming	GA	30041	60		Northside Hospital Forsyth	1200 Baptist Medical Center Dr	Cumming	GA	30041
Emory Healthcare Emory Johns Creek Hospital	6325 West Johns Crossing	Duluth	GA	30097	60		Emory Johns Creek Hospital	6325 Hospital Pkwy	Duluth	GA	30097
Stephens County Hospital	2003 Falls Road	Toccoa	GA	30577	60		Stephens County Hospital	163 Hospital Dr	Toccoa	GA	30577
Appalachian Regional Healthcare McDowell ARH Hospital	Route 122 PO Box 46	McDowell	KY	41647	60		McDowell ARH Hospital	9879 Kentucky Rte 122	Mc Dowell	KY	41647
Sparrow Health Ionia Hospital	479 East Lafayette	Ionia	MI	48846	60		Sparrow Ionia Hospital	500 E Washington St	Ionia	MI	48846
Baraga County Memorial Hospital	770 North Main Street	Lanse	MI	49946	60		Baraga County Memorial Hospital	18341 US Hwy 41	Lanse	MI	49946
Sanford Health Medical Center Fargo	701 1st Avenue South	Fargo	ND	58122	60		Sanford Medical Center Fargo	801 Broadway N	Fargo	ND	58122
Carson Valley Medical Center	1107 Highway 395	Gardnerville	NV	89410	60		Carson Valley Medical Center	1107 US Hwy 395 S	Gardnerville	NV	89410
Catholic Health Initiatives St Anthony Hospital	1601 Southeast Court Avenue	Pendleton	OR	97801	60		St Anthony Hospital	2801 St Anthony Way	Pendleton	OR	97801
Tenet HealthSystem Houston Northwest Medical Center	710 Cypress Creek Parkway	Houston	TX	77090	60		Houston Northwest Medical Center	710 F M 1960 W	Houston	TX	77090
Bath County Community Hospital	Route 220	Hot Springs	VA	24445	60		Bath County Community Hospital	106 Park Dr	Hot Springs	VA	24445
Southwest Health Center	1400 East Side Road	Platteville	WI	53818	60		Southwest Health Center	1400 Eastside Rd	Platteville	WI	53818
Lakeview Medical Center	1100 North Main Street	Rice Lake	WI	54868	60		Lakeview Medical Center	1700 W Stout St	Rice Lake	WI	54868
War Memorial Hospital	109 War Memorial Drive	Berkeley Springs	WV	25411	60		War Memorial Hospital	1 Healthy Way	Berkeley Springs	WV	25411
Ascension Health Genesys Health Park Campus	1 Genesys Parkway	Grand Blanc	MI	48439	59.4		Genesys Regional Medical Center Hea	1 Genesys Pkwy	Grand Blanc	MI	48439
Aurora Health Care Medical Center Two Rivers	5000 Memorial Drive	Two Rivers	WI	54241	59.4		Aurora Medical Center - Manitowoc C	5000 Memorial Dr	Two Rivers	WI	54241
Ministry Health Care Affinity Health Mercy Medical Center	500 South Oakwood Road	Oshkosh	WI	54904	59.4		Mercy Medical Center of Oshkosh	500 S Oakwood Rd	Oshkosh	WI	54904
CHRISTUS Dubuis Health System Advance Care Hospital of Fort Smith	7301 Rogers Avenue 4th Floor	Fort Smith	AR	72903	57.7		Advanced Care Hospital of Fort Smit	7301 Rogers Ave	Fort Smith	AR	72903
NewYork Presbyterian Healthcare System Bassett Medical Center	1 Atwell Road	Cooperstown	NY	13326	57.5		Mary Imogene Bassett Hospital	1 Atwell Rd	Cooperstown	NY	13326
Community Health Systems Northside Medical Center	500 Gypsy Lane	Youngstown	OH	44510	57.3		Northside Medical Center & Tod Chil	500 Gypsy Ln	Youngstown	OH	44504
UC San Francisco UCSF Medical Center Mission Bay	1500 Owens Street	San Francisco	CA	94158	57	1	U C S F Medical Center	505 Parnassus Ave	San Francisco	CA	94122
Bethesda Memorial Hospital Careservices of Bethesda	3800 South Congress Avenue	Boynton Beach	FL	33426	57	1	Bethesda Memorial Hospital	2815 S Seacrest Blvd	Boynton Beach	FL	33435
Lehigh Valley Health Network Lehigh Valley Hospital 17th Street	17th and Chew Streets PO Box 7017	Allentown	PA	18105	57	1	Lehigh Valley Hospital	1200 S Cedar Crest Blvd	Allentown	PA	18103
Loma Linda University Medical Center Murrieta	28062 Baxter Road	Murrieta	CA	92563	55		Loma Linda University Medical Cente	28062 Baxter Rd	Murrieta	CA	92563
HCA East Florida Hospitals Aventura Hospital and Medical Center	20900 Biscayne Boulevard	Aventura	FL	33180	55		Aventura Hospital and Medical Cente	20900 Biscayne Blvd	Miami	FL	33180
HCA East Florida Hospitals University Hospital and Medical Center	7201 North University Drive	Tamarac	FL	33321	55		University Hospital and Medical Cen	7201 N University Dr	Fort Lauderdale	FL	33321
Western Maryland Health System Western Maryland Regional Medical Center	12500 Willowbrook Road	Cumberland	MD	21502	55		Western Maryland Regional Medical C	12500 Willowbrook Rd	Cumberland	MD	21502
Health Management Associates Poplar Bluff Regional Medical Center	3100 Oak Grove Road	Poplar Bluff	MO	63901	55		Poplar Bluff Regional Medical Cente	3100 Oak Grove Rd	Poplar Bluff	MO	63901
Atlantic Health System Hackettstown Regional Medical Center	651 Willow Grove Street	Hackettstown	NJ	7840	55		Hackettstown Regional Medical Cente	651 Willow Grove St	Hackettstown	NJ	7840
Catholic Health Services of Long Island Good Samaritan Hospital Medical Center	1000 Montauk Highway	West Islip	NY	11795	55		Good Samaritan Hospital Medical Cen	1000 Montauk Hwy	West Islip	NY	11795
Community Health Systems McKenzie Willamette Medical Center	1460 G Street	Springfield	OR	97477	55		McKenzie - Willamette Medical Cente	1460 G St	Springfield	OR	97477
Health Management Associates Carolina Pines Regional Medical Center	1304 West Bobo Newsom Highway	Hartsville	SC	29550	55		Carolina Pines Regional Medical Cen	1304 W Bobo Newsom Hwy	Hartsville	SC	29550
Health Alliance Hospitals	PO Box 2004	Leominster	MA	1453	55		HealthAlliance Hospital - Leominste	60 Hospital Rd	Leominster	MA	1453
Ministry Health Care Saint Marys Hospital	1044 Kabel Avenue	Rhinelander	WI	54501	55		St Marys Hospital	2251 N Shore Dr	Rhinelander	WI	54501
Ashley Valley Medical Center	151 West 200 North	Vernal	UT	84078	53.1		Ashley Regional Medical Center	150 W 100 N	Vernal	UT	84078
University of Arkansas Medical Center	4301 West Markham Street	Little Rock	AR	72205	50		U A M S Medical Center	4301 W Markham St	Little Rock	AR	72205
University Physicians Healthcare University Physicians Hospital	2800 East Ajo Way	Tucson	AZ	85713	50	1	Banner - University Arizona Medical	2800 E Ajo Way	Tucson	AZ	85713
Dignity Health Arroyo Grande Community Hospital	345 South Halcyon Road	Arroyo Grande	CA	93420	50	1	Marian Regional Medical Center - Ar	345 S Halcyon Rd	Arroyo Grande	CA	93420
Bradley Memorial Hospital	81 Meriden Avenue	Southington	CT	6489	50	1	The Hospital of Central Connecticut	81 Meriden Ave	Southington	CT	6489
HCA West Florida Central Florida Regional Hospital	1401 West Seminole Boulevard	Sanford	FL	32771	50	1	Columbia Med Ctr-Sanford	1401 W Seminole Blvd	Sanford	FL	32771
HCA East Florida Hospitals Mercy Hospital	3663 South Miami Avenue	Miami	FL	33133	50	1	Sister Emmanuel Hospital for Contin	3663 S Miami Ave	Miami	FL	33133
Health Management Associates Peace River Regional Medical Center	2500 Harbor Boulevard	Port Charlotte	FL	33952	50	1	Bayfront Health Port Charlotte	2500 Harbor Blvd	Port Charlotte	FL	33952
