,Facility,Address,City,State,Zip,Score,Mismatch,Facility.1,Address.1,City.1,State.1,Zip.1,Flag,Str1,Str2
3090,HILLCREST HOSPITAL,9500 EUCLID AVE,CLEVELAND,OH,44195,77.0,,Hillcrest Hospital,6700 Mayfield Rd,Mayfield Heights,OH,44124,y,"HILLCREST HOSPITAL, 9500 EUCLID AVE, CLEVELAND, OH, 44195","Hillcrest Hospital, 6700 Mayfield Rd, Mayfield Heights, OH, 44124"
3091,ST JOSEPH HEALTH CENTER,243 GREENBRIAR DR,CORTLAND,OH,44410,77.0,,St Joseph Health Center,667 Eastland Ave SE,Warren,OH,44484,y,"ST JOSEPH HEALTH CENTER, 243 GREENBRIAR DR, CORTLAND, OH, 44410","St Joseph Health Center, 667 Eastland Ave SE, Warren, OH, 44484"
3092,GOOD SAMARITAN HOSPITAL,3737 SOUTHERN BLVD,DAYTON,OH,45429,77.0,,Good Samaritan Hospital,2222 Philadelphia Dr,Dayton,OH,45406,y,"GOOD SAMARITAN HOSPITAL, 3737 SOUTHERN BLVD, DAYTON, OH, 45429","Good Samaritan Hospital, 2222 Philadelphia Dr, Dayton, OH, 45406"
3093,"CHARLES F KETTERING MEMORIAL, H""",1191 WALNUT VALLEY LN,DAYTON,OH,45458,77.0,,Charles F Kettering Memorial Hospit,3535 Southern Blvd,Kettering,OH,45429,y,"CHARLES F KETTERING MEMORIAL, H"", 1191 WALNUT VALLEY LN, DAYTON, OH, 45458","Charles F Kettering Memorial Hospit, 3535 Southern Blvd, Kettering, OH, 45429"
3095,SPRINGFIELD REGIONAL MEDICAL CENTER,100 MEDICAL CENTER DR,SPRINGFIELD,OH,45504,77.0,,Community Hospital of Springfield &,2615 E High St,Springfield,OH,45505,y,"SPRINGFIELD REGIONAL MEDICAL CENTER, 100 MEDICAL CENTER DR, SPRINGFIELD, OH, 45504","Community Hospital of Springfield &, 2615 E High St, Springfield, OH, 45505"
3096,ST FRANCIS HOSPITAL,11212 E 48TH ST,TULSA,OK,74146,77.0,,St Francis Hospital,6161 S Yale Ave,Tulsa,OK,74136,y,"ST FRANCIS HOSPITAL, 11212 E 48TH ST, TULSA, OK, 74146","St Francis Hospital, 6161 S Yale Ave, Tulsa, OK, 74136"
3097,ST FRANCIS HOSPITAL,11212 E. 48th St.,TULSA,OK,74146,77.0,,St Francis Hospital,6161 S Yale Ave,Tulsa,OK,74136,y,"ST FRANCIS HOSPITAL, 11212 E. 48th St., TULSA, OK, 74146","St Francis Hospital, 6161 S Yale Ave, Tulsa, OK, 74136"
3098,SHARON REGIONAL HEALTH SYSTEM,2320 Highland Rd,Hermitage,PA,16148,77.0,,Sharon Regional Health System,740 E State St,Sharon,PA,16146,y,"SHARON REGIONAL HEALTH SYSTEM, 2320 Highland Rd, Hermitage, PA, 16148","Sharon Regional Health System, 740 E State St, Sharon, PA, 16146"
3099,CHAMBERSBURG HOSPITAL,3142 SAINT ANDREWS DR,CHAMBERSBURG,PA,17202,77.0,,Chambersburg Hospital,112 N 7th St,Chambersburg,PA,17201,y,"CHAMBERSBURG HOSPITAL, 3142 SAINT ANDREWS DR, CHAMBERSBURG, PA, 17202","Chambersburg Hospital, 112 N 7th St, Chambersburg, PA, 17201"
3100,CHAMBERSBURG HOSPITAL,501 E MAIN ST,WAYNESBORO,PA,17268,77.0,,Chambersburg Hospital,112 N 7th St,Chambersburg,PA,17201,y,"CHAMBERSBURG HOSPITAL, 501 E MAIN ST, WAYNESBORO, PA, 17268","Chambersburg Hospital, 112 N 7th St, Chambersburg, PA, 17201"
3101,DIVINE PROVIDENCE HOSPITAL,2036 GREENVIEW RD,MONTOURSVILLE,PA,17754,77.0,,Divine Providence Hospital,1100 Grampian Blvd,Williamsport,PA,17701,y,"DIVINE PROVIDENCE HOSPITAL, 2036 GREENVIEW RD, MONTOURSVILLE, PA, 17754","Divine Providence Hospital, 1100 Grampian Blvd, Williamsport, PA, 17701"
3102,EINSTEIN - MEDICAL CENTER,9880 BUSTLETON AVE,PHILADELPHIA,PA,19115,77.0,,Albert Einstein Medical Center,5501 Old York Rd,Philadelphia,PA,19141,y,"EINSTEIN - MEDICAL CENTER, 9880 BUSTLETON AVE, PHILADELPHIA, PA, 19115","Albert Einstein Medical Center, 5501 Old York Rd, Philadelphia, PA, 19141"
3103,FOX CHASE CANCER CENTER,3401 N BROAD ST,PHILADELPHIA,PA,19140,77.0,,Hospital of Fox Chase Cancer Center,333 Cottman Ave,Philadelphia,PA,19111,y,"FOX CHASE CANCER CENTER, 3401 N BROAD ST, PHILADELPHIA, PA, 19140","Hospital of Fox Chase Cancer Center, 333 Cottman Ave, Philadelphia, PA, 19111"
3104,FOX CHASE CANCER CENTER,3509 N BROAD ST,PHILADELPHIA,PA,19140,77.0,,Hospital of Fox Chase Cancer Center,333 Cottman Ave,Philadelphia,PA,19111,y,"FOX CHASE CANCER CENTER, 3509 N BROAD ST, PHILADELPHIA, PA, 19140","Hospital of Fox Chase Cancer Center, 333 Cottman Ave, Philadelphia, PA, 19111"
3105,READING HOSPITAL,491 MILLER RD,READING,PA,19608,77.0,,Reading Hospital and Medical Center,6th Ave & Spruce St,Reading,PA,19612,y,"READING HOSPITAL, 491 MILLER RD, READING, PA, 19608","Reading Hospital and Medical Center, 6th Ave & Spruce St, Reading, PA, 19612"
3106,READING HOSPITAL,READING HOSPITAL CANCER CENTER,READING,PA,19608,77.0,,Reading Hospital and Medical Center,6th Ave & Spruce St,Reading,PA,19612,y,"READING HOSPITAL, READING HOSPITAL CANCER CENTER, READING, PA, 19608","Reading Hospital and Medical Center, 6th Ave & Spruce St, Reading, PA, 19612"
3108,HOSPITAL DR CAYETANO COLL Y TOSTE,PO BOX 659,ARECIBO,PR,00613,77.0,,Hospital Dr Cayetano Coll y Toste,129 San Luis Ave,Arecibo,PR,00612,y,"HOSPITAL DR CAYETANO COLL Y TOSTE, PO BOX 659, ARECIBO, PR, 00613","Hospital Dr Cayetano Coll y Toste, 129 San Luis Ave, Arecibo, PR, 00612"
3109,WOMEN & INFANTS HOSPITAL OF RI,164 SUMMIT AVE,PROVIDENCE,RI,02906,77.0,,Women & Infants Hospital Of R I,101 Dudley St,Providence,RI,02905,y,"WOMEN & INFANTS HOSPITAL OF RI, 164 SUMMIT AVE, PROVIDENCE, RI, 02906","Women & Infants Hospital Of R I, 101 Dudley St, Providence, RI, 02905"
3110,AVERA MCKENNAN,1000 E 23RD ST,SIOUX FALLS,SD,57105,77.0,,Avera McKennan Hospital & Universit,800 E 21st St,Sioux Falls,SD,57117,y,"AVERA MCKENNAN, 1000 E 23RD ST, SIOUX FALLS, SD, 57105","Avera McKennan Hospital & Universit, 800 E 21st St, Sioux Falls, SD, 57117"
3112,AVERA MCKENNAN,3720 West 69th Street,SIOUX FALLS,SD,57108,77.0,,Avera McKennan Hospital & Universit,800 E 21st St,Sioux Falls,SD,57117,y,"AVERA MCKENNAN, 3720 West 69th Street, SIOUX FALLS, SD, 57108","Avera McKennan Hospital & Universit, 800 E 21st St, Sioux Falls, SD, 57117"
3113,GATEWAY HEALTH SYSTEM,651 DUNLOP LN,CLARKSVILLE,TN,37040,77.0,,Gateway Medical Center,1771 Madison St,Clarksville,TN,37043,y,"GATEWAY HEALTH SYSTEM, 651 DUNLOP LN, CLARKSVILLE, TN, 37040","Gateway Medical Center, 1771 Madison St, Clarksville, TN, 37043"
3114,JOHNSON CITY MEDICAL CENTER,PO BOX 70622,JOHNSON CITY,TN,37614,77.0,,Johnson City Medical Center,400 N State Of Franklin Rd,Johnson City,TN,37604,y,"JOHNSON CITY MEDICAL CENTER, PO BOX 70622, JOHNSON CITY, TN, 37614","Johnson City Medical Center, 400 N State Of Franklin Rd, Johnson City, TN, 37604"
3115,TEXOMA MEDICAL CENTER,5016 S US HIGHWAY 75,DENISON,TX,75020,77.0,,Texoma Medical Center Behavioral He,2601 Cornerstone Dr,Sherman,TX,75092,y,"TEXOMA MEDICAL CENTER, 5016 S US HIGHWAY 75, DENISON, TX, 75020","Texoma Medical Center Behavioral He, 2601 Cornerstone Dr, Sherman, TX, 75092"
3118,UNIV OF TEX MD ANDERSON CANCER,5656 KELLEY ST,HOUSTON,TX,77026,77.0,,Univ of Tex MD Anderson Cancer Cent,1515 Holcombe Blvd,Houston,TX,77030,y,"UNIV OF TEX MD ANDERSON CANCER, 5656 KELLEY ST, HOUSTON, TX, 77026","Univ of Tex MD Anderson Cancer Cent, 1515 Holcombe Blvd, Houston, TX, 77030"
3119,"SELECT SPECIALTY HOSPITAL, HOUSTON WEST""",9430 KATY FWY,HOUSTON,TX,77055,77.0,,Select Specialty Hospital- Houston,6655 Travis St,Houston,TX,77030,y,"SELECT SPECIALTY HOSPITAL, HOUSTON WEST"", 9430 KATY FWY, HOUSTON, TX, 77055","Select Specialty Hospital- Houston, 6655 Travis St, Houston, TX, 77030"
3120,CHRISTUS SPOHN SHORELINE HOSP,14120 NORTHWEST BLVD,CORPUS CHRISTI,TX,78410,77.0,,Christus Spohn Shoreline Hospital,600 Elizabeth St,Corpus Christi,TX,78404,y,"CHRISTUS SPOHN SHORELINE HOSP, 14120 NORTHWEST BLVD, CORPUS CHRISTI, TX, 78410","Christus Spohn Shoreline Hospital, 600 Elizabeth St, Corpus Christi, TX, 78404"
3121,SCOTT & WHITE MEMORIAL HOSPITAL,302 UNIVERSITY BLVD,ROUND ROCK,TX,78665,77.0,,Memorial Hospital,1110 N Sarah Dewitt Dr,Gonzales,TX,78629,y,"SCOTT & WHITE MEMORIAL HOSPITAL, 302 UNIVERSITY BLVD, ROUND ROCK, TX, 78665","Memorial Hospital, 1110 N Sarah Dewitt Dr, Gonzales, TX, 78629"
3122,SETON MEDICAL CENTER,1601 RIO GRANDE ST,AUSTIN,TX,78701,77.0,,Seton Medical Center,1201 W 38th St,Austin,TX,78705,y,"SETON MEDICAL CENTER, 1601 RIO GRANDE ST, AUSTIN, TX, 78701","Seton Medical Center, 1201 W 38th St, Austin, TX, 78705"
3123,UNIVERSITY MEDICAL CENTER,4101 22nd Place,LUBBOCK,TX,79410,77.0,,University Medical Center,602 Indiana Ave,Lubbock,TX,79415,y,"UNIVERSITY MEDICAL CENTER, 4101 22nd Place, LUBBOCK, TX, 79410","University Medical Center, 602 Indiana Ave, Lubbock, TX, 79415"
3125,PROVIDENCE MEMORIAL HOSPITAL,7812 GATEWAY EAST BKVD,EL PASO,TX,79915,77.0,,Providence Memorial Hospital,2001 N Oregon St,El Paso,TX,79902,y,"PROVIDENCE MEMORIAL HOSPITAL, 7812 GATEWAY EAST BKVD, EL PASO, TX, 79915","Providence Memorial Hospital, 2001 N Oregon St, El Paso, TX, 79902"
3126,SIERRA MEDICAL CENTER,10555 VISTA DEL SOL DR,EL PASO,TX,79925,77.0,,Sierra Medical Center,1625 Medical Center St,El Paso,TX,79902,y,"SIERRA MEDICAL CENTER, 10555 VISTA DEL SOL DR, EL PASO, TX, 79925","Sierra Medical Center, 1625 Medical Center St, El Paso, TX, 79902"
3127,DIXIE MEDICAL CENTER,1303 N MAIN ST,CEDAR CITY,UT,84721,77.0,,Dixie Regional Medical Center,544 S 400 E,Saint George,UT,84770,y,"DIXIE MEDICAL CENTER, 1303 N MAIN ST, CEDAR CITY, UT, 84721","Dixie Regional Medical Center, 544 S 400 E, Saint George, UT, 84770"
3129,MARTHA JEFFERSON HOSPITAL,500 MARTHA JEFFERSON DR,CHARLOTTESVILLE,VA,22911,77.0,,Martha Jefferson Hospital,459 Locust Ave,Charlottesville,VA,22902,y,"MARTHA JEFFERSON HOSPITAL, 500 MARTHA JEFFERSON DR, CHARLOTTESVILLE, VA, 22911","Martha Jefferson Hospital, 459 Locust Ave, Charlottesville, VA, 22902"
3130,MARTHA JEFFERSON HOSPITAL,500 Martha Jefferson Drive,CHARLOTTESVILLE,VA,22911,77.0,,Martha Jefferson Hospital,459 Locust Ave,Charlottesville,VA,22902,y,"MARTHA JEFFERSON HOSPITAL, 500 Martha Jefferson Drive, CHARLOTTESVILLE, VA, 22911","Martha Jefferson Hospital, 459 Locust Ave, Charlottesville, VA, 22902"
3131,JOHNSTON-WILLIS HOSPITAL,6605 W BROAD ST,RICHMOND,VA,23230,77.0,,Johnston - Willis Medical Center,1401 Johnston Willis Dr,Richmond,VA,23235,y,"JOHNSTON-WILLIS HOSPITAL, 6605 W BROAD ST, RICHMOND, VA, 23230","Johnston - Willis Medical Center, 1401 Johnston Willis Dr, Richmond, VA, 23235"
3132,BON SECOURS MARYVIEW MEDICAL CENTER,355 CRAWFORD ST,PORTSMOUTH,VA,23704,77.0,,Bon Secours Maryview Medical Center,3636 High St,Portsmouth,VA,23707,y,"BON SECOURS MARYVIEW MEDICAL CENTER, 355 CRAWFORD ST, PORTSMOUTH, VA, 23704","Bon Secours Maryview Medical Center, 3636 High St, Portsmouth, VA, 23707"
3133,JOHNSTON MEMORIAL HOSPITAL,16000 JOHNSTON MEMORIAL DR,ABINGDON,VA,24211,77.0,,Johnston Memorial Hospital,351 Court St NE,Abingdon,VA,24210,y,"JOHNSTON MEMORIAL HOSPITAL, 16000 JOHNSTON MEMORIAL DR, ABINGDON, VA, 24211","Johnston Memorial Hospital, 351 Court St NE, Abingdon, VA, 24210"
3134,FLETCHER ALLEN HEALTH CARE,89 BEAUMONT AVE,BURLINGTON,VT,05405,77.0,,Fletcher Allen Health Care,111 Colchester Ave,Burlington,VT,05401,y,"FLETCHER ALLEN HEALTH CARE, 89 BEAUMONT AVE, BURLINGTON, VT, 05405","Fletcher Allen Health Care, 111 Colchester Ave, Burlington, VT, 05401"
3135,FLETCHER ALLEN HEALTH CARE,89 BEAUMONT AVE BLDG E214,BURLINGTON,VT,05405,77.0,,Fletcher Allen Health Care,111 Colchester Ave,Burlington,VT,05401,y,"FLETCHER ALLEN HEALTH CARE, 89 BEAUMONT AVE BLDG E214, BURLINGTON, VT, 05405","Fletcher Allen Health Care, 111 Colchester Ave, Burlington, VT, 05401"
3136,SKAGIT VALLEY HOSPITAL,4163 ISLANDER WAY,ANACORTES,WA,98221,77.0,,Skagit Valley Hospital,1415 E Kincaid St,Mount Vernon,WA,98273,y,"SKAGIT VALLEY HOSPITAL, 4163 ISLANDER WAY, ANACORTES, WA, 98221","Skagit Valley Hospital, 1415 E Kincaid St, Mount Vernon, WA, 98273"
3137,SKAGIT VALLEY HOSPITAL,PO BOX 1407,BURLINGTON,WA,98233,77.0,,Skagit Valley Hospital,1415 E Kincaid St,Mount Vernon,WA,98273,y,"SKAGIT VALLEY HOSPITAL, PO BOX 1407, BURLINGTON, WA, 98233","Skagit Valley Hospital, 1415 E Kincaid St, Mount Vernon, WA, 98273"
3138,SKAGIT VALLEY HOSPITAL,307 S 13TH ST STE 100,MOUNT VERNON,WA,98274,77.0,,Skagit Valley Hospital,1415 E Kincaid St,Mount Vernon,WA,98273,y,"SKAGIT VALLEY HOSPITAL, 307 S 13TH ST STE 100, MOUNT VERNON, WA, 98274","Skagit Valley Hospital, 1415 E Kincaid St, Mount Vernon, WA, 98273"
3140,PROVIDENCE ST PETER HOSPITAL,2015 COOKS HILL RD,CENTRALIA,WA,98531,77.0,,Providence St Peter Hospital,413 Lilly Rd NE,Olympia,WA,98506,y,"PROVIDENCE ST PETER HOSPITAL, 2015 COOKS HILL RD, CENTRALIA, WA, 98531","Providence St Peter Hospital, 413 Lilly Rd NE, Olympia, WA, 98506"
3141,U OF IOWA HOSP & CLINICS,200 HAWKINS DR,IOWA CITY,IA,52242,76.7,,University Of Iowa Hospitals,200 Hawkins Dr,Iowa City,IA,52242,y,"U OF IOWA HOSP & CLINICS, 200 HAWKINS DR, IOWA CITY, IA, 52242","University Of Iowa Hospitals, 200 Hawkins Dr, Iowa City, IA, 52242"
3142,UNIVERSITY HEALTH CONWAY,4864 JACKSON ST,MONROE,LA,71202,76.7,,E A Conway Medical Center,4864 Jackson St,Monroe,LA,71202,y,"UNIVERSITY HEALTH CONWAY, 4864 JACKSON ST, MONROE, LA, 71202","E A Conway Medical Center, 4864 Jackson St, Monroe, LA, 71202"
3143,MCLAREN CENTRAL MICHIGAN,1221 SOUTH DR,MOUNT PLEASANT,MI,48858,76.7,,Central Michigan Community Hospital,1221 South Dr,Mount Pleasant,MI,48858,y,"MCLAREN CENTRAL MICHIGAN, 1221 SOUTH DR, MOUNT PLEASANT, MI, 48858","Central Michigan Community Hospital, 1221 South Dr, Mount Pleasant, MI, 48858"
3144,MCLAREN CENTRAL MICHIGAN,1221 South Drive,MOUNT PLEASANT,MI,48858,76.7,,Central Michigan Community Hospital,1221 South Dr,Mount Pleasant,MI,48858,y,"MCLAREN CENTRAL MICHIGAN, 1221 South Drive, MOUNT PLEASANT, MI, 48858","Central Michigan Community Hospital, 1221 South Dr, Mount Pleasant, MI, 48858"
3145,DARTMOUTH-HITCHCOCK PHARMACY,1 MEDICAL CENTER DR,LEBANON,NH,03756,76.7,,Dartmouth Hitchcock Medical Center,1 Medical Center Dr,Lebanon,NH,03756,y,"DARTMOUTH-HITCHCOCK PHARMACY, 1 MEDICAL CENTER DR, LEBANON, NH, 03756","Dartmouth Hitchcock Medical Center, 1 Medical Center Dr, Lebanon, NH, 03756"
3146,ALBANY MEDICAL CENTER OP,43 NEW SCOTLAND AVE,ALBANY,NY,12208,76.7,,Albany Medical Center Hospital,43 New Scotland Ave,Albany,NY,12208,y,"ALBANY MEDICAL CENTER OP, 43 NEW SCOTLAND AVE, ALBANY, NY, 12208","Albany Medical Center Hospital, 43 New Scotland Ave, Albany, NY, 12208"
3147,ALICE HYDE HOSP ASSN,133 PARK ST,MALONE,NY,12953,76.7,,Alice Hyde Medical Center,133 Park St,Malone,NY,12953,y,"ALICE HYDE HOSP ASSN, 133 PARK ST, MALONE, NY, 12953","Alice Hyde Medical Center, 133 Park St, Malone, NY, 12953"
3148,GEAUGA REGIONAL HOSPITAL,13207 RAVENNA RD,CHARDON,OH,44024,76.7,,UH Geauga Medical Center,13207 Ravenna Rd,Chardon,OH,44024,y,"GEAUGA REGIONAL HOSPITAL, 13207 RAVENNA RD, CHARDON, OH, 44024","UH Geauga Medical Center, 13207 Ravenna Rd, Chardon, OH, 44024"
3149,UPENN - PHOENIXVILLE CLINIC,140 NUTT RD,PHOENIXVILLE,PA,19460,76.7,,Phoenixville Hospital,140 Nutt Rd,Phoenixville,PA,19460,y,"UPENN - PHOENIXVILLE CLINIC, 140 NUTT RD, PHOENIXVILLE, PA, 19460","Phoenixville Hospital, 140 Nutt Rd, Phoenixville, PA, 19460"
3150,JOHN PETER SMITH HEALTH NETWORK,1500 S MAIN ST,FORT WORTH,TX,76104,76.7,,John Peter Smith Hospital,1500 S Main St,Fort Worth,TX,76104,y,"JOHN PETER SMITH HEALTH NETWORK, 1500 S MAIN ST, FORT WORTH, TX, 76104","John Peter Smith Hospital, 1500 S Main St, Fort Worth, TX, 76104"
3151,"WEST VIRGINIA, UNIVERSITY""",1 MED CENTER DR,MORGANTOWN,WV,26505,76.6,,West Virginia University Hospitals,Medical Center Dr,Morgantown,WV,26506,y,"WEST VIRGINIA, UNIVERSITY"", 1 MED CENTER DR, MORGANTOWN, WV, 26505","West Virginia University Hospitals, Medical Center Dr, Morgantown, WV, 26506"
3152,HOSPITAL OF CENTRAL CONNECTICUT AT,100 GRAND ST,NEW BRITAIN,CT,06052,76.0,,The Hospital of Central Connecticut,100 Grand St,New Britain,CT,06050,y,"HOSPITAL OF CENTRAL CONNECTICUT AT, 100 GRAND ST, NEW BRITAIN, CT, 06052","The Hospital of Central Connecticut, 100 Grand St, New Britain, CT, 06050"
3153,ROBERT WOOD JOHNSON HOSP AT RAHWAY,865 STONE ST,RAHWAY,NJ,07065,75.9,,Robert Wood Johnson University Hosp,865 Stone St,Rahway,NJ,07065,y,"ROBERT WOOD JOHNSON HOSP AT RAHWAY, 865 STONE ST, RAHWAY, NJ, 07065","Robert Wood Johnson University Hosp, 865 Stone St, Rahway, NJ, 07065"
3154,MEDSTAR FRANKLIN SQUARE MEDICAL CENTER,9000 FRANKLIN SQUARE DR,ROSEDALE,MD,21237,75.7,,Franklin Square Hospital Center,9000 Franklin Square Dr,Baltimore,MD,21237,y,"MEDSTAR FRANKLIN SQUARE MEDICAL CENTER, 9000 FRANKLIN SQUARE DR, ROSEDALE, MD, 21237","Franklin Square Hospital Center, 9000 Franklin Square Dr, Baltimore, MD, 21237"
3155,YAKIMA VALLEY HSP OP PHS,2811 TIETON DR,YAKIMA,WA,98902,75.5,,Yakima Valley Memorial Hospital,2811 Tieton Dr,Yakima,WA,98902,y,"YAKIMA VALLEY HSP OP PHS, 2811 TIETON DR, YAKIMA, WA, 98902","Yakima Valley Memorial Hospital, 2811 Tieton Dr, Yakima, WA, 98902"
3156,JEFFERSON HOSPITAL ASSN,1600 W 40TH AVE,PINE BLUFF,AR,71603,75.0,,Jefferson Regional Medical Center,1600 W 40th Ave,Pine Bluff,AR,71603,y,"JEFFERSON HOSPITAL ASSN, 1600 W 40TH AVE, PINE BLUFF, AR, 71603","Jefferson Regional Medical Center, 1600 W 40th Ave, Pine Bluff, AR, 71603"
3157,ST BERNARDS MEDICAL CENTER,311 E MATTHEWS AVE,JONESBORO,AR,72401,75.0,,St Bernard Medical Center,225 E Jackson Ave,Jonesboro,AR,72401,y,"ST BERNARDS MEDICAL CENTER, 311 E MATTHEWS AVE, JONESBORO, AR, 72401","St Bernard Medical Center, 225 E Jackson Ave, Jonesboro, AR, 72401"
3158,ST FRANCIS HOSP MED CTR,ST Francis Care; 114 Woodland St,HARTFORD,CT,06105,74.7,,Saint Francis Hospital and Medical,114 Woodland St,Hartford,CT,06105,y,"ST FRANCIS HOSP MED CTR, ST Francis Care; 114 Woodland St, HARTFORD, CT, 06105","Saint Francis Hospital and Medical, 114 Woodland St, Hartford, CT, 06105"
3159,BROWARD HEALTH IMPERIAL POINT,6401 N FEDERAL HWY,FORT LAUDERDALE,FL,33308,74.5,,Imperial Point Medical Center,6401 N Federal Hwy,Fort Lauderdale,FL,33308,y,"BROWARD HEALTH IMPERIAL POINT, 6401 N FEDERAL HWY, FORT LAUDERDALE, FL, 33308","Imperial Point Medical Center, 6401 N Federal Hwy, Fort Lauderdale, FL, 33308"
3161,GOOD SAMARITAN MEDICAL CENTER,3600 NW SAMARITAN DR,CORVALLIS,OR,97330,74.5,,Good Samaritan Regional Medical Cen,3600 NW Samaritan Dr,Corvallis,OR,97330,y,"GOOD SAMARITAN MEDICAL CENTER, 3600 NW SAMARITAN DR, CORVALLIS, OR, 97330","Good Samaritan Regional Medical Cen, 3600 NW Samaritan Dr, Corvallis, OR, 97330"
3162,BAPTIST HOSP - ORANGE,608 STRICKLAND DR,ORANGE,TX,77630,74.5,,Memorial Hermann Baptist Orange Hos,608 Strickland Dr,Orange,TX,77630,y,"BAPTIST HOSP - ORANGE, 608 STRICKLAND DR, ORANGE, TX, 77630","Memorial Hermann Baptist Orange Hos, 608 Strickland Dr, Orange, TX, 77630"
3163,SENTARA CAREPLEX OUTPTNT,3000 COLISEUM DR PHCY DEPT,HAMPTON,VA,23666,74.4,,Sentara CarePlex Hospital,3000 Coliseum Dr,Hampton,VA,23666,y,"SENTARA CAREPLEX OUTPTNT, 3000 COLISEUM DR PHCY DEPT, HAMPTON, VA, 23666","Sentara CarePlex Hospital, 3000 Coliseum Dr, Hampton, VA, 23666"
3165,BETH ISRAEL DEACONESS HOSPITAL,330 Brookline Avenue; KS406/Dept of Neur,BOSTON,MA,02215,74.2,,Beth Israel Deaconess Medical Cente,330 Brookline Ave,Boston,MA,02215,y,"BETH ISRAEL DEACONESS HOSPITAL, 330 Brookline Avenue; KS406/Dept of Neur, BOSTON, MA, 02215","Beth Israel Deaconess Medical Cente, 330 Brookline Ave, Boston, MA, 02215"
3166,HOSP AUTHORITY OF WASHINGTON COUNTY,610 SPARTA RD,SANDERSVILLE,GA,31082,74.1,,Washington County Regional Medical,610 Sparta Rd,Sandersville,GA,31082,y,"HOSP AUTHORITY OF WASHINGTON COUNTY, 610 SPARTA RD, SANDERSVILLE, GA, 31082","Washington County Regional Medical, 610 Sparta Rd, Sandersville, GA, 31082"
3167,ST MARYS MERCY HOSPITAL,305 S 5TH ST,ENID,OK,73701,73.8,,St Marys Regional Medical Center,305 S 5th St,Enid,OK,73701,y,"ST MARYS MERCY HOSPITAL, 305 S 5TH ST, ENID, OK, 73701","St Marys Regional Medical Center, 305 S 5th St, Enid, OK, 73701"
3168,JANE PHILLIPS MEDICAL CENTER,3500 E FRANK PHILLIPS BLVD,BARTLESVILLE,OK,74006,73.3,,Jane Phillips Memorial Medical Cent,3500 E Frank Phillips Blvd,Bartlesville,OK,74006,y,"JANE PHILLIPS MEDICAL CENTER, 3500 E FRANK PHILLIPS BLVD, BARTLESVILLE, OK, 74006","Jane Phillips Memorial Medical Cent, 3500 E Frank Phillips Blvd, Bartlesville, OK, 74006"
3169,MED CENTER OF S ARKANSAS,615 THOMPSON AVE,EL DORADO,AR,71730,73.0,,Medical Center of South Arkansas,700 W Grove St,El Dorado,AR,71730,y,"MED CENTER OF S ARKANSAS, 615 THOMPSON AVE, EL DORADO, AR, 71730","Medical Center of South Arkansas, 700 W Grove St, El Dorado, AR, 71730"
3170,ST VINCENT INFIRMARY-MED CTR,500 S UNIVERSITY AVE,LITTLE ROCK,AR,72205,73.0,,St Vincent Infirmary Medical Center,2 Saint Vincent Cir,Little Rock,AR,72205,y,"ST VINCENT INFIRMARY-MED CTR, 500 S UNIVERSITY AVE, LITTLE ROCK, AR, 72205","St Vincent Infirmary Medical Center, 2 Saint Vincent Cir, Little Rock, AR, 72205"
3171,SPARKS REG MED CTR,1001 TOWSON AVE,FORT SMITH,AR,72901,73.0,,Sparks Regional Medical Center,1311 S I St,Fort Smith,AR,72901,y,"SPARKS REG MED CTR, 1001 TOWSON AVE, FORT SMITH, AR, 72901","Sparks Regional Medical Center, 1311 S I St, Fort Smith, AR, 72901"
3172,YUMA REG MED CTR O/P PHS,1320 W. 24th Street,YUMA,AZ,85364,73.0,,Yuma Regional Medical Center,2400 S Avenue A,Yuma,AZ,85364,y,"YUMA REG MED CTR O/P PHS, 1320 W. 24th Street, YUMA, AZ, 85364","Yuma Regional Medical Center, 2400 S Avenue A, Yuma, AZ, 85364"
3173,HAVASU REG MEDICAL CENTER,101 Civic Center Lane,LAKE HAVASU CITY,AZ,86403,73.0,,Havasu Regional Medical Center,101 Civic Center Ln,Lake Havasu City,AZ,86403,y,"HAVASU REG MEDICAL CENTER, 101 Civic Center Lane, LAKE HAVASU CITY, AZ, 86403","Havasu Regional Medical Center, 101 Civic Center Ln, Lake Havasu City, AZ, 86403"
3174,ORTHOPEDIC HOSPITAL OF LO,403 W ADAMS BLVD,LOS ANGELES,CA,90007,73.0,,Orthopaedic Hospital,2400 S Flower St,Los Angeles,CA,90007,y,"ORTHOPEDIC HOSPITAL OF LO, 403 W ADAMS BLVD, LOS ANGELES, CA, 90007","Orthopaedic Hospital, 2400 S Flower St, Los Angeles, CA, 90007"
3175,U C L A MED CTR,710 Westwood Plaza Suite 1-230,LOS ANGELES,CA,90095,73.0,,UCLA Medical Center,10833 Le Conte Ave,Los Angeles,CA,90095,y,"U C L A MED CTR, 710 Westwood Plaza Suite 1-230, LOS ANGELES, CA, 90095","UCLA Medical Center, 10833 Le Conte Ave, Los Angeles, CA, 90095"
3176,ST FRANCIS MED CTR,3737 MARTIN LUTHER KING JR BLV,LYNWOOD,CA,90262,73.0,,St Francis Medical Center,3630 E Imperial Hwy,Lynwood,CA,90262,y,"ST FRANCIS MED CTR, 3737 MARTIN LUTHER KING JR BLV, LYNWOOD, CA, 90262","St Francis Medical Center, 3630 E Imperial Hwy, Lynwood, CA, 90262"
